match_id,date,map,team_a_players,team_b_players,queue
1112581,2025-01-24,Land Nomad,"[1241745368077697135, 1033770965127135333, 828672992976437267, 715923016412037221]","[573073267766722561, 1024061084233125888, 328978193312776212, 739435983707308062]",4v4
1112554,2025-01-24,Land Nomad,"[1241745368077697135, 828672992976437267, 555011931488911374, 1010781418458206329]","[695309066771365970, 1024061084233125888, 511604233267707925, 715923016412037221]",4v4
1112551,2025-01-24,Land Nomad,"[1241745368077697135, 739435983707308062, 555011931488911374, 1010781418458206329]","[695309066771365970, 1024061084233125888, 511604233267707925, 828672992976437267]",4v4
1112518,2025-01-24,Land Nomad,"[573073267766722561, 1024061084233125888, 828672992976437267, 1010781418458206329]","[1241745368077697135, 695309066771365970, 555011931488911374, 1093481859607957514]",4v4
1112513,2025-01-24,Land Nomad,"[1241745368077697135, 555011931488911374, 828672992976437267, 573073267766722561]","[695309066771365970, 1024061084233125888, 715923016412037221, 1010781418458206329]",4v4
1112513,2025-01-24,Land Nomad,"[1241745368077697135, 555011931488911374, 828672992976437267, 1093481859607957514]","[695309066771365970, 1024061084233125888, 715923016412037221, 1010781418458206329]",4v4
1112511,2025-01-24,Land Nomad,"[1024061084233125888, 715923016412037221, 1010781418458206329]","[695309066771365970, 555011931488911374, 1093481859607957514]",4v4
1112508,2025-01-24,Land Nomad,"[695309066771365970, 1024061084233125888, 715923016412037221, 1010781418458206329]","[573073267766722561, 555011931488911374, 828672992976437267, 1093481859607957514]",4v4
1109858,2025-01-19,Land Nomad,"[354904864066764804, 435111409320198167, 555011931488911374, 1010781418458206329]","[1033770965127135333, 739435983707308062, 354990093980663809, 581434797117669386]",4v4
1109828,2025-01-19,Land Nomad,"[1033770965127135333, 328978193312776212, 739435983707308062, 581434797117669386]","[354904864066764804, 435111409320198167, 828672992976437267, 1010781418458206329]",4v4
1109794,2025-01-19,Land Nomad,"[1033770965127135333, 435111409320198167, 1010781418458206329]","[354904864066764804, 328978193312776212, 739435983707308062]",4v4
